Zipcode,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
11418,39.48%,8.33%,0.87%,23.55%,0.00%,21.74%,6.04%,2.32%,3.72%
11419,9.58%,15.96%,0.90%,34.35%,0.07%,32.70%,6.44%,3.52%,2.93%
11420,16.69%,25.39%,0.99%,32.69%,0.25%,18.05%,5.93%,2.41%,3.52%
11421,41.40%,4.26%,0.66%,19.85%,0.00%,26.76%,7.09%,5.56%,1.53%
11422,6.40%,84.08%,1.05%,2.23%,0.00%,3.91%,2.34%,0.48%,1.86%
11423,13.01%,38.89%,0.37%,28.70%,0.00%,14.61%,4.41%,1.81%,2.60%
11426,37.02%,6.03%,0.42%,43.79%,0.00%,8.69%,4.04%,1.77%,2.28%
11427,26.80%,20.82%,1.20%,33.70%,0.00%,12.67%,4.82%,2.58%,2.24%
11428,20.98%,21.41%,0.41%,26.15%,0.23%,19.68%,11.15%,6.57%,4.58%
11429,3.93%,73.06%,0.83%,4.52%,0.12%,14.54%,2.99%,1.48%,1.51%
11430,16.50%,67.48%,0.00%,2.91%,0.00%,13.11%,0.00%,0.00%,0.00%
11432,18.67%,16.15%,0.65%,42.53%,0.21%,17.05%,4.74%,1.39%,3.36%
11433,4.29%,64.43%,0.05%,9.67%,0.03%,19.25%,2.28%,0.73%,1.55%
11434,3.61%,85.91%,0.05%,3.11%,0.00%,4.86%,2.46%,1.00%,1.47%
11435,17.85%,24.42%,0.69%,23.36%,0.01%,29.78%,3.89%,1.52%,2.37%
11436,5.16%,62.87%,0.24%,9.07%,0.00%,16.99%,5.66%,2.76%,2.90%
11509,94.38%,1.51%,0.68%,1.09%,0.00%,0.94%,1.41%,0.00%,1.41%
11559,86.43%,1.26%,0.61%,2.45%,0.00%,9.25%,0.00%,0.00%,0.00%
11580,33.44%,33.22%,0.05%,14.46%,0.04%,14.06%,4.74%,1.65%,3.09%
11581,52.87%,20.79%,0.04%,13.67%,0.05%,8.93%,3.65%,2.61%,1.04%
11691,36.99%,46.94%,0.27%,3.32%,0.06%,9.42%,3.01%,0.97%,2.04%
11692,22.28%,59.82%,0.82%,5.29%,0.00%,9.65%,2.14%,1.16%,0.98%
11693,61.27%,21.85%,0.00%,4.41%,0.00%,7.51%,4.96%,3.31%,1.65%
11694,82.05%,6.55%,1.02%,2.92%,0.00%,6.31%,1.14%,0.00%,1.14%
11697,94.99%,0.63%,0.00%,0.65%,0.00%,3.73%,0.00%,0.00%,0.00%
